# Recipes — matched against the plate AND used by the menu generator.
# core = ingredients that DEFINE the dish; opt = the garnish/micro layer (flax, lemon, seeds, moringa).
#   The MATCHER treats opt as optional; the MENU GENERATOR places it anyway — that layer is where
#   omega-3, calcium, zinc and the iron-absorption partner live. See menu.html.
# ids are space-separated (ingredient ids from ingredients.csv). meals = space-separated meal types it fits.
#
# effort = ACTIVE minutes, assuming the §6 prep blocks are done (dal cooked, eggs boiled, base bhuna'd).
#   This is the axis that actually matters. Indian home cooking is structurally expensive — a tadka,
#   a bhuna, a gravy, then rice, then a sabzi. The global one-pan and assembly formats hit the same
#   nutrition in a third of the time, which is exactly what §8 "Beyond Indian" says.
#   Tier 0 = 0-6 min  (no cooking, pure assembly — the highest-leverage dishes here)
#   Tier 1 = 8-15 min (one pan)
#   Tier 2 = 20-30 min (multi-step — kept, but the generator knows they cost more)
# cuisine: global | greek | med | levant | italian | mexican | asian | north | south | west | chaat | neutral
# No commas inside any field.
id,name,meals,core,opt,method,cuisine,effort,amounts,src
egg_chaat,Boiled-egg chaat,snack,egg onion tomato lemon,coriander gchilli pumpkin peanut,Halve boiled eggs and toss with raw onion-tomato-lemon,chaat,5,,
sprout_chaat,Sprout chaat,snack breakfast,sprout onion tomato lemon,peanut gchilli coriander pumpkin,Toss sprouts raw with onion-tomato-lemon and a crunch,chaat,5,,
curd_fruit_bowl,Curd fruit bowl,breakfast snack,curd banana,flax pumpkin guava papaya,Stir fruit and seeds into curd for a 2-min bowl,global,3,,
papaya_curd_bowl,Papaya curd bowl,breakfast snack,curd papaya,flax pumpkin til guava,Stir papaya and seeds into curd,global,3,,
pb_banana_toast,Peanut-butter banana toast,breakfast snack,bread pb banana,flax,Peanut butter and banana on multigrain toast,global,3,,
whey_shake,Whey shake,snack,whey banana,pb flax,Blend whey with banana and water,global,2,,
peanut_jar,Roasted peanut and seed jar,snack,peanut,pumpkin til,Dry-roast a jar and keep it on the counter,global,1,,
egg_toast,Egg toast,breakfast,bread egg,pb,Boiled or fried egg on multigrain toast,global,5,,
curd_rice,Curd rice,lunch snack,curd rice,curryleaf ginger gchilli,Mix rice into curd with a mustard-curry-leaf tempering,south,5,,
# --- TIER 1 · one pan (8-15 min)
shakshuka,Shakshuka,breakfast lunch dinner,egg tomato onion garlic,gchilli coriander lemon spinach,Poach eggs straight into a spiced tomato pan - one pan one wash,levant,12,,
mexican_scramble,Mexican scramble,breakfast lunch,egg onion tomato gchilli lemon,coriander,Eggs scrambled with raw tomato-onion-chilli and a lime finish,mexican,8,,
masala_omelette,Masala omelette,breakfast,egg onion tomato gchilli,coriander lemon,Beat eggs with raw onion-tomato-chilli and fry,north,8,,
italian_greens_eggs,Garlic greens and eggs,breakfast dinner,egg spinach garlic,tomato lemon,Eggs over greens sauteed in garlic - masala spices skipped,italian,8,,
frittata,Veg frittata,breakfast lunch,egg onion carrot spinach,tomato gchilli coriander paneer,Everything into the pan then eggs over the top and cover,italian,14,,
tofu_stirfry,Tofu stir-fry,lunch dinner,tofu fbeans carrot onion garlic ginger,gchilli coriander lemon til,High-heat stir-fry - one pan no gravy,asian,12,,
peanut_tofu_bowl,Peanut-sauce tofu bowl,lunch dinner,tofu pb garlic lemon,fbeans carrot coriander gchilli,Thin peanut butter with lemon-water and toss through tofu and veg,asian,12,,
satay_tofu,Sesame-peanut satay tofu,lunch dinner,tofu pb til garlic lemon,gchilli coriander fbeans,Thin peanut butter with til and lemon then glaze seared tofu,asian,12,,
fried_rice,Egg fried rice,lunch dinner,rice egg carrot onion ginger,fbeans garlic coriander lemon,Day-old rice tossed with egg and veg over high heat,asian,12,,
gingery_dal_soup,Gingery dal soup,lunch dinner,dal ginger garlic lemon,moringa coriander spinach,Thin dal cooked soupy with ginger - sip it no rice needed,asian,12,,
moong_soup,Tomato-moong soup,lunch dinner,dal tomato garlic,lemon coriander ginger moringa,Cook moong dal soupy with tomato then finish with lemon,global,14,,
italian_bean_stew,Tomato bean stew,lunch dinner,rajma tomato garlic onion,coriander lemon amaranth,Beans simmered with garlic and tomato - no tadka ribollita-style,italian,15,,
rajma_bowl,Rajma bean bowl,lunch dinner,rajma rice tomato onion lemon,coriander gchilli curd,Mexican bean bowl with a raw tomato-onion-lime salsa,mexican,10,,
mexican_wrap,Bean wrap,lunch snack,besan rajma tomato onion lemon,coriander gchilli curd,Besan chilla as the tortilla filled with mashed beans and salsa,mexican,12,,
egg_bhurji,Egg bhurji,breakfast lunch dinner,egg onion tomato,gchilli coriander ginger garlic curryleaf flax,Scramble eggs into sauteed onion-tomato with spices,north,10,,
tofu_bhurji,Tofu bhurji,breakfast dinner,tofu onion tomato,gchilli coriander,Crumble tofu into onion-tomato and spice like bhurji,north,10,,
paneer_bhurji,Paneer bhurji,breakfast dinner,paneer onion tomato,gchilli coriander lemon,Crumble paneer into onion-tomato and spice like bhurji,north,10,,
besan_chilla,Besan chilla,breakfast snack,besan onion,tomato coriander gchilli pchutney flax,Whisk besan batter and pan-fry then top with chutney,north,10,,
sprout_chilla,Sprout-besan chilla,breakfast snack,sprout besan onion,coriander gchilli pchutney flax,Blend sprouts into besan batter and pan-fry,north,12,,
egg_dosa,Egg dosa,breakfast dinner,batter egg,pchutney coriander,Spread batter and crack an egg over the dosa,south,8,,
dosa_chutney,Dosa and chutney,breakfast dinner,batter,pchutney,Crisp dosa served with peanut chutney,south,8,,
idli_chutney,Idli and chutney,breakfast,batter,pchutney coriander,Steam the batter - fermented plus steamed is the easiest-digest meal on the list,south,10,,
poha_veg,Poha,breakfast,poha onion,peanut curryleaf gchilli lemon carrot,Sizzle poha with onion peanuts and curry leaf,west,12,,
suji_upma,Suji upma,breakfast,suji onion,carrot fbeans curryleaf gchilli peanut,Roast suji then cook with veg and tempering,south,12,,
vermicelli_upma,Vermicelli upma,breakfast,vermicelli onion carrot,fbeans curryleaf gchilli peanut lemon,Roast vermicelli then cook with veg and a tempering,south,12,,
millet_upma,Millet upma,breakfast,millet onion carrot,fbeans curryleaf gchilli peanut lemon,Cook little millet like upma with veg and tempering,south,12,,
ragi_porridge,Ragi porridge,breakfast,ragi banana,flax til pumpkin curd,Whisk ragi flour into water and simmer then top with fruit and seeds,south,8,,
dal_rice,Dal and rice,lunch dinner,dal rice,lemon curd moringa,Ladle tempered dal over rice with a squeeze of lemon,neutral,10,,
dal_tadka,Dal tadka,lunch dinner,dal onion tomato garlic,moringa ginger curryleaf lemon coriander,Temper cooked dal with garlic and spices,north,12,,
kala_sundal,Kala chana sundal,snack lunch,kala curryleaf,lemon coriander gchilli onion,Toss boiled kala chana with a mustard-curry-leaf tempering,south,10,,
besan_dhokla,Besan dhokla,snack,besan curd,gchilli coriander curryleaf til,Steam a besan-curd batter then temper - baked not fried,west,20,,
paneer_tikka,Pan paneer tikka,snack dinner,paneer curd onion,gchilli coriander lemon ginger,Marinate paneer in spiced curd then sear dry in a pan,north,15,,
veg_poriyal,Beans-carrot poriyal,lunch dinner,fbeans carrot onion,curryleaf gchilli coriander,Quick stir-fry of beans and carrot with tempering,south,15,,
cocc_poriyal,Coccinia poriyal,lunch dinner,cocc onion curryleaf,gchilli coriander til lemon,Dry stir-fry coccinia till it squeaks then temper,south,15,,
beet_poriyal,Beetroot poriyal,lunch dinner,beet onion curryleaf,coriander gchilli til lemon,Grate beetroot and stir-fry with a coconut-free tempering,south,15,,
# --- TIER 2 · multi-step (20-30 min). Kept, but the generator now knows they cost more.
dal_khichdi,Dal khichdi,lunch dinner,dal rice,carrot fbeans curd ginger,One-pot dal and rice cooked soft with cumin and hing,north,20,,
millet_khichdi,Millet-veg khichdi,lunch dinner,millet dal,carrot fbeans curd lemon,One-pot millet and moong dal with mixed veg,neutral,20,,
palak_dal,Spinach dal,lunch dinner,dal spinach garlic,lemon tomato onion,Cook moong dal with spinach and a garlic tadka,north,20,,
amaranth_dal,Amaranth keerai dal,lunch dinner,dal amaranth garlic,lemon tomato onion curryleaf moringa,Cook dal soft with amaranth and a garlic tadka,south,20,,
spinach_soya,Spinach soya bhurji,lunch dinner,soya spinach onion tomato,garlic ginger gchilli coriander lemon,Crumble soaked soya into spinach and onion-tomato,north,20,,
soya_keema,Soya keema,lunch dinner,soya onion tomato garlic,ginger coriander gchilli lemon,Cook soya granules dry like a keema,north,20,,
egg_curry,Egg curry,lunch dinner,egg onion tomato garlic ginger,coriander gchilli lemon,Boil eggs then simmer in an onion-tomato gravy,north,25,,
egg_poriyal,Egg poriyal,breakfast lunch,egg onion curryleaf,gchilli coriander,Dry-fry eggs South-style with curry leaf and chilli,south,12,,
rajma_rice,Rajma rice,lunch dinner,rajma rice onion tomato,lemon curd coriander,Simmer rajma in onion-tomato gravy and serve over rice,north,25,,
chana_masala,Kala chana masala,lunch dinner,kala onion tomato garlic ginger,lemon coriander,Cook kala chana in a tangy onion-tomato masala,north,25,,
soya_curry,Soya curry,lunch dinner,soya onion tomato garlic ginger,coriander lemon,Simmer soaked soya chunks in an onion-tomato gravy,north,25,,
tofu_curry,Tofu curry,lunch dinner,tofu onion tomato garlic ginger,coriander lemon gchilli,Simmer cubed tofu in an onion-tomato gravy,north,25,,
palak_paneer,Palak paneer,lunch dinner,paneer spinach onion tomato garlic,ginger gchilli coriander lemon,Simmer paneer in a garlicky spinach gravy,north,25,,
besan_kadhi,Besan kadhi,lunch dinner,besan curd onion rice,gchilli curryleaf ginger coriander,Whisk besan into curd and simmer to a tangy kadhi,north,20,,
veg_pulao,Veg-egg pulao,lunch dinner,rice egg carrot onion,fbeans ginger garlic coriander lemon,One-pot rice with egg and veg in a light garam masala,north,25,,
# --- EXPANSION (2026-07-19). Authored against the new IFCT-backed ingredient rows — the nutrients are
# --- sourced, the dish combinations are not: they are hand-written in the same tier/cuisine grammar above.
# --- TIER 0 · assembly, no cooking (0-6 min)
cabbage_kachumber,Cabbage kachumber,lunch snack,cabbage carrot cucumber lemon,coriander mint peanut til,Shred cabbage raw with carrot-cucumber and a lemon-salt toss,north,5,,
pomegranate_curd,Pomegranate curd bowl,breakfast snack,curd pomegranate,flax walnut almond mint,Stir pomegranate into thick curd with a nut scatter,global,3,,
mango_curd_bowl,Mango curd bowl,breakfast snack,curd mango,flax pumpkin til almond,Fold ripe mango through curd and top with seeds,global,3,,
orange_nut_bowl,Orange and nut bowl,breakfast snack,orange curd,walnut almond flax pomegranate,Segment an orange over curd with walnuts - the iron-partner breakfast,med,4,,
chana_dal_salad,Chana dal salad,lunch snack,chana_dal cucumber tomato onion lemon,coriander gchilli mint sunflower,Toss cooled chana dal raw with cucumber-tomato-lemon,med,6,,
moth_chaat,Moth bean chaat,snack breakfast,moth onion tomato lemon,coriander gchilli peanut mint,Toss soaked moth beans with raw onion-tomato-lime,chaat,5,,
lobia_salad,Lobia salad,lunch snack,lobia capsicum tomato onion lemon,coriander mint pumpkin til,Cooled lobia tossed with raw capsicum and lemon,med,6,,
quinoa_bowl,Quinoa sprout bowl,lunch dinner,quinoa sprout cucumber pomegranate lemon,coriander mint walnut pumpkin,Cooled quinoa with sprouts raw veg and a lemon dressing,global,8,,
lassi,Salt lassi,breakfast snack,curd milk,mint jaggery,Whisk curd with milk and salt or a little jaggery,north,3,,
amla_shot,Amla and ginger shot,breakfast snack,amla ginger,lemon jaggery,Blend raw amla with ginger and strain - the vitamin-C floor in one glass,north,4,,
apple_pb,Apple and peanut butter,snack,apple pb,walnut almond raisin,Slice apple and spread peanut butter - two-minute snack,global,2,,
date_nut_jar,Date and nut jar,snack,dates almond walnut,raisin fig_dry cashew sunflower,Keep a jar of dates and nuts on the counter,global,1,,
watermelon_mint,Watermelon mint bowl,snack,watermelon mint lemon,pumpkin sunflower,Cube watermelon with mint and a squeeze of lemon,global,3,,
fig_milk,Fig and almond milk,breakfast snack,milk fig_dry almond,dates ragi,Warm milk with soaked figs and almonds - a calcium glass,north,4,,
# --- TIER 1 · one pan (8-15 min)
masoor_soup,Masoor soup,lunch dinner,masoor tomato garlic lemon,coriander ginger moringa spinach,Simmer masoor dal soupy with tomato - no soak needed,global,14,,
methi_dal,Methi dal,lunch dinner,dal methi garlic,lemon tomato onion ghee,Wilt methi into cooked dal with a garlic tadka,north,14,,
drumstick_leaf_dal,Drumstick-leaf dal,lunch dinner,dal drumstick_leaf garlic,lemon curryleaf onion tomato,Stir fresh moringa leaves into dal at the end and cut the heat,south,14,,
tori_dal,Ridge gourd dal,lunch dinner,dal tori garlic,coriander gchilli lemon curryleaf,Cook tori soft into a thin dal with a garlic tadka,south,15,,
lauki_chana,Lauki chana dal,lunch dinner,chana_dal lauki onion,ginger coriander gchilli lemon,Pressure-cook chana dal with lauki then temper,north,15,,
kulthi_rasam,Kulthi rasam,lunch dinner,kulthi tamarind garlic curryleaf,coriander gchilli lemon,Boil horse gram thin with tamarind and garlic - sip it,south,15,,
tamarind_rasam,Tomato rasam,lunch dinner,tamarind tomato garlic curryleaf,coriander gchilli dal ginger,Simmer tamarind water with tomato and a garlic-pepper tempering,south,12,,
matar_ragda,White pea ragda,lunch snack,matar onion tomato lemon,coriander gchilli ginger curd,Mash soaked white peas soft with onion-tomato and a lime finish,chaat,15,,
mushroom_masala,Mushroom masala,lunch dinner,mushroom onion tomato garlic,ginger coriander gchilli lemon,Sear mushrooms dry then finish in onion-tomato,north,12,,
mushroom_egg,Mushroom and egg scramble,breakfast lunch,egg mushroom onion garlic,capsicum coriander lemon,Brown mushrooms hard then scramble eggs through them,global,10,,
capsicum_egg,Capsicum egg fry,breakfast lunch,egg capsicum onion,tomato coriander gchilli lemon,Blister capsicum then fold in eggs,mexican,10,,
capsicum_besan,Besan-stuffed capsicum,lunch dinner,capsicum besan onion,coriander gchilli lemon til,Fill capsicum with roasted besan masala and pan-cook covered,west,15,,
cabbage_poriyal,Cabbage poriyal,lunch dinner,cabbage onion curryleaf,coconut gchilli coriander lemon,Stir-fry shredded cabbage fast with a mustard tempering,south,12,,
karela_fry,Karela fry,lunch dinner,karela onion,gchilli coriander lemon jaggery,Salt karela and squeeze then dry-fry with onion till crisp,north,15,,
pumpkin_sabzi,Pumpkin sabzi,lunch dinner,pumpkin_veg onion,gchilli coriander jaggery lemon,Cook pumpkin down soft with a little jaggery and chilli,west,15,,
sweetpotato_hash,Sweet potato hash,breakfast lunch,sweetpotato onion egg,capsicum coriander gchilli lemon,Cube boiled sweet potato and crisp it in a pan with egg over the top,global,12,,
bajra_khichdi,Bajra khichdi,lunch dinner,bajra dal,carrot fbeans ghee ginger curd,One-pot bajra and moong dal cooked soft,west,15,,
quinoa_pulao,Quinoa pulao,lunch dinner,quinoa peas_fresh carrot onion,ginger garlic coriander lemon cashew,One-pot quinoa with peas and veg in a light masala,neutral,15,,
rajgira_porridge,Rajgira porridge,breakfast,rajgira milk banana,flax almond dates til,Simmer rajgira in milk and top with fruit and nuts,north,10,,
roti_sabzi,Roti and sabzi,lunch dinner,atta fbeans carrot onion,coriander gchilli curd lemon,Fresh roti with whatever dry sabzi the fridge has,north,15,,
peas_paneer_pan,Pan peas and paneer,lunch dinner,paneer peas_fresh onion tomato,ginger coriander gchilli lemon,Sear paneer then toss through peas and a quick onion-tomato,north,15,,
milk_ragi,Ragi milk porridge,breakfast,ragi milk,dates flax almond til,Whisk ragi into milk and simmer - plant and dairy calcium together,south,8,,
# --- TIER 2 · multi-step (20-30 min)
sarson_saag,Sarson saag,lunch dinner,sarson spinach garlic ginger,atta gchilli ghee lemon onion,Boil sarson with spinach then mash and finish with a garlic tadka,north,30,,
sambar,Drumstick sambar,lunch dinner,dal drumstick tamarind onion curryleaf,tomato gchilli coriander rice,Cook dal with drumstick and tamarind then temper,south,25,,
urad_dal_makhani,Urad dal,lunch dinner,urad tomato onion garlic ginger,ghee coriander gchilli lemon,Simmer soaked urad long with tomato and finish with ghee,north,30,,
matar_paneer,Matar paneer,lunch dinner,paneer peas_fresh onion tomato garlic,ginger cashew coriander lemon,Simmer paneer and peas in an onion-tomato gravy,north,25,,
cauli_matar,Cauliflower and peas sabzi,lunch dinner,cauli peas_fresh onion tomato,ginger coriander gchilli lemon,Dry-cook cauliflower with peas in a light masala,north,22,,
lobia_curry,Lobia curry,lunch dinner,lobia onion tomato garlic ginger,coriander lemon gchilli,Simmer soaked lobia in an onion-tomato gravy,north,25,,
chana_dal_khichdi,Chana dal khichdi,lunch dinner,chana_dal rice,carrot lauki ghee ginger curd,One-pot chana dal and rice cooked soft,north,25,,
methi_thepla,Methi thepla,breakfast snack,atta methi besan,curd gchilli coriander pchutney,Knead methi into atta with besan and roast thin theplas,west,25,,
mooli_leaf_dal,Radish-leaf dal,lunch dinner,dal mooli_leaf garlic,lemon tomato onion curryleaf,Cook the leaves that came attached to the radish into a dal,north,20,,
agathi_poriyal,Agathi keerai poriyal,lunch dinner,agathi onion curryleaf,coconut gchilli lemon til,Stir-fry agathi leaves with a mustard-coconut tempering,south,20,,
# --- INDB IMPORT: dish -> ingredient -> GRAMS PER SERVING, from 1014 real Indian recipes.
# --- core/opt is DERIVED: ingredients ranked by mass, split where cumulative weight crosses 90%.
# --- meals/effort/cuisine come from a SECOND source: the Archana's Kitchen corpus (6871 recipes
# --- with Course/Cuisine/TotalTime) matched to the INDB dish by name. `src` carries both, with the
# --- name-match score: INDB:ASC152|AK:Dhaba Style Urad Dal(0.67). Below a 0.50 score the fields are
# --- left BLANK — a wrong meal slot is worse than none, because blank means "searchable but never
# --- auto-suggested", which is the correct behaviour for a dish whose slot nobody has established.
# --- CAVEAT: `effort` here is Archana TOTAL time (prep+cook). This file's effort means ACTIVE
# --- minutes assuming the prep blocks are done. It is a sourced PROXY, not the same quantity.
indb_potato_parantha_paratha,Potato parantha/paratha,lunch,atta potato onion,gchilli,,indian,45,atta:80 potato:80 onion:25 gchilli:3,INDB:ASC098|AK:Millet Potato Paratha Recipe(0.50)
indb_radish_parantha_paratha,Radish parantha/paratha,breakfast,radish atta onion,gchilli,,indian,35,radish:100 atta:80 onion:25 gchilli:3,INDB:ASC099|AK:Radish Paratha (Radish Paratha) Recipe(0.67)
indb_cauliflower_parantha_paratha,Cauliflower parantha/paratha,breakfast,cauli atta onion,ginger gchilli,,indian,60,cauli:100 atta:80 onion:25 ginger:5 gchilli:3,INDB:ASC100|AK:Cauliflower And Methi Paratha Recipe(0.50)
indb_dal_parantha_paratha,Dal parantha/paratha,breakfast,atta chana_dal onion,gchilli,,indian,45,atta:80 chana_dal:30 onion:25 gchilli:3,INDB:ASC101|AK:Leftover Dal Paratha Recipe(0.50)
indb_sprouted_moong_parantha_paratha,Sprouted moong parantha/paratha,,atta moong_whole onion,gchilli,,,0,atta:80 moong_whole:30 onion:25 gchilli:3,INDB:ASC102
indb_pea_parantha_paratha,Pea parantha/paratha,,peas_fresh atta onion,gchilli,,,0,peas_fresh:125 atta:80 onion:25 gchilli:3,INDB:ASC103
indb_paneer_parantha_paratha,Paneer parantha/paratha,lunch,atta paneer onion,gchilli,,north indian recipes,45,atta:80 paneer:60 onion:20 gchilli:3,INDB:ASC105|AK:Paneer Onion Paratha Recipe(0.50)
indb_besan_and_spinach_parantha_paratha,Besan and spinach parantha/paratha,,atta spinach chana_dal onion,gchilli,,,0,atta:50 spinach:50 chana_dal:30 onion:25 gchilli:3,INDB:ASC106
indb_dal_stuffed_poori,Dal stuffed poori,,atta urad ginger,gchilli,,,0,atta:80 urad:15 ginger:10 gchilli:2,INDB:ASC110
indb_mixed_vegetable_pulao,Mixed vegetable pulao,dinner,rice peas_fresh carrot onion fbeans,,,indian,60,rice:80 peas_fresh:50 carrot:50 onion:50 fbeans:30,INDB:ASC115|AK:Mixed Vegetable Pulao Recipe(1.00)
indb_mushroom_pulao,Mushroom pulao,,rice onion mushroom,,,,0,rice:80 onion:50 mushroom:50,INDB:ASC116
indb_sprouted_moong_pulao,Sprouted moong pulao,lunch,rice carrot onion moong_whole,,,indian,30,rice:80 carrot:50 onion:50 moong_whole:50,INDB:ASC117|AK:Sprouted Moong And Methi Pulao Recipe(0.75)
indb_paneer_pulao,Paneer pulao,lunch,rice onion paneer,,,north indian recipes,50,rice:80 onion:50 paneer:50,INDB:ASC118|AK: Paneer Tikka Pulao Recipe(0.67)
indb_peanut_pulao,Peanut pulao,,rice onion peanut,,,,0,rice:80 onion:50 peanut:50,INDB:ASC119
indb_green_chickpeas_pulao,Green chickpeas pulao,lunch,rice onion kabuli,,,indian,60,rice:80 onion:50 kabuli:50,INDB:ASC121|AK:Tofu Green Pulao Recipe(0.50)
indb_vegetable_biryani_biriyani,Vegetable biryani/biriyani,lunch,rice onion cauli fbeans peas_fresh tomato carrot potato,ginger garlic,,hyderabadi,80,rice:50 onion:50 cauli:25 fbeans:25 peas_fresh:25 tomato:25 carrot:25 potato:25 ginger:3 garlic:1,INDB:ASC123|AK:Hyderabadi Vegetable Biryani Recipe - (0.50)
indb_lemon_rice,Lemon rice,lunch,rice lemon_wedge peanut,,,south indian recipes,65,rice:80 lemon_wedge:30 peanut:25,INDB:ASC124|AK:Carrot Lemon Rice Recipe(0.67)
indb_curd_rice,Curd rice,lunch,rice curd,gchilli,,indian,50,rice:80 curd:61 gchilli:3,INDB:ASC126|AK:Curd Rice With Carrots Recipe(0.67)
indb_tamarind_rice,Tamarind rice,lunch,rice tamarind,cashew peanut,,indian,30,rice:80 tamarind:20 cashew:2 peanut:2,INDB:ASC127|AK:Coriander Tamarind Millet Rice Recipe(0.50)
indb_masala_dosa,Masala dosa,breakfast,potato onion rice,urad,,karnataka,55,potato:50 onion:38 rice:30 urad:10,INDB:ASC146|AK:Sagu Masala Dosa Recipe(0.67)
indb_onion_tomato_uttapam,Onion tomato uttapam,lunch dinner,rice tomato onion urad,gchilli,,north indian recipes,40,rice:30 tomato:25 onion:25 urad:10 gchilli:2,INDB:ASC148|AK:Tomato Onion Vegetable Recipe - Tomato(0.50)
indb_washed_urad_dal,Washed urad dal,lunch,urad onion ginger,,,north indian recipes,55,urad:30 onion:10 ginger:5,INDB:ASC152|AK:Dhaba Style Urad Dal Recipe - Dhaba St(0.50)
indb_split_bengal_gram_with_bottle_gour,Split bengal gram with bottle gourd,,lauki chana_dal tomato onion,ginger gchilli,,,0,lauki:50 chana_dal:30 tomato:30 onion:30 ginger:5 gchilli:3,INDB:ASC153
indb_dry_washed_urad,Dry washed urad,,urad onion,ginger,,,0,urad:40 onion:10 ginger:5,INDB:ASC154
indb_mixed_dal,Mixed dal,lunch,chana_dal urad dal onion ginger,,,north indian recipes,,chana_dal:10 urad:10 dal:10 onion:10 ginger:6,INDB:ASC155|AK:Uttarkhand Style Mixed Bhaddu Dal Reci(0.50)
indb_whole_moong,Whole moong,snack,tomato moong_whole onion,ginger,,indian,60,tomato:38 moong_whole:30 onion:18 ginger:6,INDB:ASC156|AK:Whole Moong Dal Vada Recipe(0.50)
indb_whole_masoor,Whole masoor,lunch,tomato masoor onion,ginger,,north indian recipes,40,tomato:38 masoor:30 onion:18 ginger:6,INDB:ASC157|AK:Methi Masoor Dal Recipe With Whole Mas(0.50)
indb_whole_moth,Whole moth,,tomato moth onion,ginger,,,0,tomato:38 moth:30 onion:18 ginger:6,INDB:ASC158
indb_whole_urad,Whole urad,,tomato urad onion,ginger,,,0,tomato:34 urad:30 onion:18 ginger:6,INDB:ASC159
indb_black_channa_curry_bengal_gram_cur,Black channa curry/Bengal gram curry,,tomato kabuli onion,ginger garlic,,,0,tomato:50 kabuli:30 onion:25 ginger:3 garlic:1,INDB:ASC161
indb_chickpeas_curry,Chickpeas curry,lunch,tomato kabuli onion,ginger garlic,,north indian recipes,65,tomato:50 kabuli:30 onion:25 ginger:3 garlic:1,INDB:ASC162|AK:Vegan Chickpeas And Broccoli Curry Rec(0.50)
indb_lobia_curry,Lobia curry,,tomato lobia onion,ginger garlic,,,0,tomato:50 lobia:30 onion:25 ginger:3 garlic:1,INDB:ASC163
indb_kidney_bean_curry,Kidney bean curry,,tomato rajma_soaked onion,ginger garlic,,,0,tomato:50 rajma_soaked:30 onion:25 ginger:3 garlic:1,INDB:ASC165
indb_sambar,Sambar,lunch,dal brinjal drumstick bhindi tomato onion coconut,tamarind,,south indian recipes,55,dal:25 brinjal:15 drumstick:15 bhindi:15 tomato:15 onion:15 coconut:15 tamarind:10,INDB:ASC167|AK:Beetroot Sambar Recipe(0.50)
indb_besan_kadhi_with_pakodies,Besan kadhi with pakodies,,curd chana_dal spinach,onion,,,0,curd:50 chana_dal:25 spinach:10 onion:8,INDB:ASC168
indb_sprouted_moong_dal_chat,Sprouted moong dal chat,lunch,cucumber tomato potato moong_whole onion,lemon_wedge,,north indian recipes,25,cucumber:50 tomato:50 potato:50 moong_whole:50 onion:30 lemon_wedge:25,INDB:ASC170|AK: Sprouted Moong Dal Recipe(0.75)
indb_potato_cauliflower,Potato cauliflower,lunch dinner,cauli potato,ginger gchilli,,indian,45,cauli:100 potato:50 ginger:6 gchilli:2,INDB:ASC171|AK:Potato And Cauliflower In Peanut Curry(0.50)
indb_potato_capsicum,Potato capsicum,snack,potato capsicum,ginger gchilli,,indian,45,potato:75 capsicum:50 ginger:6 gchilli:2,INDB:ASC172|AK:Stuffed Capsicum With Sweet Potato Rec(0.50)
indb_cabbage_and_peas,Cabbage and peas,,cabbage peas_fresh,ginger gchilli,,,0,cabbage:100 peas_fresh:50 ginger:6 gchilli:2,INDB:ASC173
