# Ingredient nutrient table — the data source for the planner, the shop list and the menu generator.
# Values are PER ONE UNIT of the stated unit (multiply by qty). Micros are rough estimates.
# pantry: 1 = on hand. base: 1 = can START a plate. green/probiotic: functional flags. role: for recipe phrasing (base/protein/veg/green/aromatic/sour/seed/fruit/condiment/dairy).
# topper: 1 = a micro-layer item the menu generator may ADD to any slot to repair a nutrient gap (seeds/greens/sours/moringa).
#         Only toppers are addable, and only one serving per day — that is what keeps a repair edible.
# shelf = days it keeps AFTER buying — decides the shopping run (<=3 fresh/daily · 4-14 weekly · >14 monthly staple).
#         it also caps how far ahead you can buy: you cannot stock a month of spinach.
# pack  = how many of `unit` come in one purchase pack. packname = what you actually ask for at the shop.
#         CAREFUL: for dals/grains `unit` is a COOKED cup but you buy a DRY packet. Convert, don't eyeball:
#         g_dry_per_cup = kcal_per_cup / (kcal_per_g_dry)  -> 1 cup cooked dal = ~35 g dry, so a 1 kg packet = 28 cups.
#         Getting this wrong silently multiplies every buy (a 12-cup dal pack over-buys 2.3x).
#         all of these are estimates — tune them and re-run `python3 app.py import-csv`.
# No commas inside any field.
# lead = HOURS of ahead-time needed BEFORE you can cook with this (soaking, sprouting).
#   `effort` is cook time; `lead` is the thing effort misses. A 12-min rajma bowl is a fiction
#   if nobody soaked the rajma last night. The menu page turns this into a nightly prep queue.
# prep = what you actually do. No commas.
# makes = space-sep raw input ids this row is MADE from (soaking/sprouting/bhuna). Presence marks a
#   PREP OUTPUT — a thing you make, not buy. It gets its own stock + freshness clock (shelf). Marking a
#   prep "done" on index/menu bumps this row's stock; it then expires on its own shelf-life clock.
# needform/gated = the FLAG escape hatch for effects that are real but unquantified (forms.csv
#   mechanism=matrix/fat). needform = the form.csv id that must be applied; gated = the nutrients
#   that should NOT be credited until it is. A flag not a multiplier: the planner WARNS, it never
#   silently scales. Whole til really does deliver far less calcium than ground til - declining to
#   invent the percentage is not the same as claiming the effect is zero.
# keep = 1 = a STANDING prep you always want a batch of ready — the prep queue nags when its stock is empty.
# --- EXPANSION (2026-07-19): rows below generated from ICMR-NIN IFCT 2017 via the `ifct2017` npm
# --- package - real per-100g composition scaled to the unit here. Energy from enerc (kJ -> kcal); the
# --- oils/fats table carries no enerc so those are 9 kcal/g of fat. vita = retinol + carotene-eq/12 (ug RAE).
# --- Non-nutrient columns (pantry/pack/shelf/prep) are still hand-set estimates - tune them.
# --- Known IFCT gaps: it measures no retinol for dairy so milk/paneer vitA reads low; B12 is not a column at all.
# --- COVERAGE PASS: added by enumerating IFCT groups rather than by recall. Numbers are all
# --- 0 here on purpose — `python3 app.py ifct-derive --write` fills them from the table.
# --- PREP OUTPUTS: things you MAKE not buy. `makes` links each to the raw ids it comes from; marking
# --- it done (index/menu prep queue) bumps its stock and starts the shelf-life clock. sprout is one too.
id,name,unit,default,pantry,base,green,probiotic,topper,role,kcal,protein,carbs,fibre,iron,calcium,vitc,folate,omega3,omega3_dha,zinc,vita,magnesium,potassium,note,shelf,pack,packname,lead,prep,makes,keep,needform,gated,ifct_code,grams,grams_src
bathua,Bathua leaves,serving,1,0,0,1,0,1,green,21,1.9,1.9,3,2,158,30.8,32,0.13,0,0.73,67,36,328,calcium 211 mg/100 g - the highest-calcium green on this list,3,4,bunch,0,,,0,,,C008,75,ICMR-NIN DGI 2024 glv serving (100g/day)
pineapple,Pineapple,serving,1,0,0,0,0,0,fruit,43,0.5,9.4,3.5,0.28,11,36.4,18,0.03,0,0.1,3,13,143,,7,3,1 fruit,0,,,0,,,E053,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
grapes,Grapes,serving,1,0,0,0,0,0,fruit,61,0.8,13.2,1.4,0.22,11,18.3,9,0.04,0,0.05,2,7,171,,7,4,500 g,0,,,0,,,E022,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
sapota,Sapota (chikoo),serving,1,0,0,0,0,0,fruit,73,0.9,13.9,9.6,0.49,18,21,11,0.12,0,0.18,7,16,280,,5,4,500 g,0,,,0,,,E060,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
custardapple,Custard apple,serving,1,0,0,0,0,0,fruit,99,1.6,20.4,5.1,0.42,28,21.5,8,0.05,0,0.22,0,38,278,,4,3,500 g,0,,,0,,,E016,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
jamun,Jamun,serving,1,0,0,0,0,1,fruit,54,0.9,10.6,4.3,0.63,24,19.4,23,0.08,0,0.11,4,31,205,,4,4,500 g,0,,,0,,,E013,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
litchi,Litchi,serving,1,0,0,0,0,0,fruit,54,1,11.4,1.3,0.79,6,33.8,16,0.03,0,0.24,0,15,161,,5,4,500 g,0,,,0,,,E035,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
muskmelon,Muskmelon,serving,1,0,0,0,0,0,fruit,23,0.4,4.2,1.5,0.18,10,22.8,22,0.06,0,0.09,64,12,206,,5,4,1 melon,0,,,0,,,E045,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
khoa,Khoa,serving,1,0,0,0,0,0,dairy,632,32.7,33.1,0,4.64,1204,0,188,0.53,0,4.68,1,117,1072,calcium 602 mg/100 g,5,6,200 g,0,,,0,,,L004,200,ICMR-NIN DGI 2024 dairy serving (300g/day)
egg,Eggs,serving,1,1,1,0,0,0,protein,67,6.6,0,0,0.91,25,0,25,0.01,0.04,0.61,100,6,69,keystone protein,21,30,tray of 30,0,boil 6 at a time - keeps 5-7 days,,0,,,M001,50,ICMR-NIN DGI 2024 egg serving (70g/day)
egg_o3,Omega-3 eggs (fortified),serving,1,0,1,0,0,0,protein,72,6,0.5,0,0.9,28,0,24,0.05,0.25,0.6,40,6,63,fortified/DHA-enriched - direct DHA - no conversion needed unlike flax ALA,21,30,tray of 30,0,boil 6 at a time - keeps 5-7 days,,0,,,,50,ESTIMATE - no INDB serving for this food
dal,Dal (toor/moong/masoor),serving,1,1,1,0,0,0,protein,99,6.5,16.6,2.7,1.17,22,0,32,0.02,0,0.79,3,36,418,daily backbone,365,28,1 kg packet,0,pressure-cook a batch - keeps 3-4 days,,0,,,B021,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
rajma,Rajma,serving,1,1,1,0,0,0,protein,89,5.8,14.6,5.1,1.89,40,0,99,0.17,0,0.78,0,49,410,soak 6-8h then discard water,365,7,500 g packet,8,soak 6-8h then DISCARD the water,,0,,,B019,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
kala,Kala chana,serving,1,1,0,0,0,0,protein,86,5.6,11.9,7.6,2.03,45,0,70,0.04,0,1.01,4,48,280,,365,8,500 g packet,8,soak 6-8h then discard the water,,0,,,B002,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
kabuli,Kabuli chana,serving,1,0,1,0,0,0,protein,86,5.6,11.9,7.6,2.03,45,0,70,0.04,0,1.01,4,48,280,buy - for cold salads and bowls,365,8,500 g packet,8,soak 6-8h then discard the water,,0,,,B002,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
soya,Soya chunks,serving,1,1,0,0,0,0,protein,100,15,10,3,5,80,0,60,0,0,1,0,85,180,cap 2-3x per week,180,6,200 g packet,1,boil then squeeze dry,,0,,,,30,row already stated 30g dry
besan,Besan (chilla),serving,1,1,1,0,0,0,protein,99,6.5,14,4.5,1.82,14,0,55,0.03,0,1.09,4,35,287,,180,12,500 g packet,0,,,0,,,B001,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
whey,Whey,serving,1,1,0,0,0,0,protein,120,24,3,0,0.3,120,0,0,0,0,1,0,20,160,gap-filler not a base,365,30,1 kg tub,0,,,0,,,,30,ESTIMATE - one scoop
sprout,Sprouted moong,serving,1,1,0,0,0,0,protein,88,6.8,13.8,5.1,1.47,28,0,44,0.05,0,0.8,3,59,353,sprout the moong you have,3,4,jar - sprout at home,24,soak 8h then sprout 12-24h in a jar,dal,1,,,B011,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
peanut,Roasted peanuts,serving,1,1,0,0,0,1,seed,104,4.7,3.5,2.1,0.69,11,0,18,0,0,0.64,0,39,136,,90,16,500 g packet,0,,,0,,,H012,20,ICMR-NIN DGI 2024 nutseed serving (35g/day)
pb,Peanut butter,serving,2,1,0,0,0,0,condiment,97,3.7,2.1,1.1,0.34,6,0,8,0,0,0.48,0,29,112,UK FCT B504 via INDB,120,25,340 g jar,0,,,0,,,,16,row already stated tbsp = 16 g (UK FCT B504 basis)
pchutney,Peanut chutney,serving,2,1,0,0,0,0,condiment,55,2.5,3,1,0.4,12,0,0,0,0,0.4,0,15,60,pre-prepped condiment,21,20,jar,0,,,0,,,,15,ESTIMATE - one tbsp
curd,Curd (toned),serving,1,1,1,0,1,1,dairy,120,7,10,0,0.1,275,0,0,0,0,0.9,0,24,350,daily probiotic,5,2.5,500 g tub,0,,,0,,,,200,ICMR-NIN DGI 2024 dairy serving - "Curd 200ml"
tofu,Tofu (plain),serving,1,0,0,0,0,0,protein,130,11,2,1,2.7,40,0,0,0,0,0.8,0,30,120,protein and iron only - Ca-set unavailable so calcium is ~40mg not 350 - UK FCT B506 gives 73kcal 8.1g protein 1.2mg iron for STEAMED (soft) tofu so these firm-tofu numbers may be ~1.7x high,5,2,200 g block,0,cube and submerge in water - change daily,,0,,,,100,row already stated 100g
paneer,Paneer,serving,1,0,0,0,0,0,protein,516,37.7,24.8,0,1.8,952,0,187,0.47,0,5.48,1,53,127,BUY - the calcium plug now Ca-set tofu is unavailable - cap 2-3x per week,5,2,200 g block,0,,,0,,,L003,200,ICMR-NIN DGI 2024 dairy serving (300g/day)
rice,Rice,serving,1,1,1,0,0,0,base,285,6.4,62.6,2.2,0.52,6,0,7,0.01,0,0.97,0,15,86,,365,17,1 kg packet,0,,,0,,,A015,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
millet,Little millet,serving,1,1,1,0,0,0,base,277,8.1,52.4,6.2,1.01,13,0,29,0.04,0,1.46,0,73,84,carries magnesium - rice does not,180,8,500 g packet,6,soak 6h before cooking,,0,,,A016,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
ragi,Ragi flour,serving,1,1,0,0,0,1,base,257,5.7,53.5,8.9,3.7,291,0,28,0.05,0,2.02,0,117,354,plant-calcium,90,16,500 g packet,0,,,0,,,A010,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
poha,Poha,serving,1,1,1,0,0,0,base,283,6,61.4,2.8,3.57,7,0,7,0.02,0,1.19,0,62,118,,120,10,500 g packet,0,,,0,,,A011,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
suji,Suji/rava,serving,1,1,0,0,0,0,base,267,9.1,54.7,7.8,2.38,24,0,21,0.02,0,1.7,0,30,227,,120,10,500 g packet,0,,,0,,,A022,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
vermicelli,Vermicelli,serving,1,1,0,0,0,0,base,266,7.8,56.3,7.4,1.62,16,0,11,0.01,0,0.66,0,27,130,,180,8,400 g packet,0,,,0,,,A023,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
oats,Rolled oats,serving,1,0,1,0,0,0,base,152,4.4,28.3,3.1,1.46,20,0,13,0.1,0,0.92,0,46,149,buy - the zero-cook overnight base - UK FCT A508 via INDB (ALA still an estimate),180,12,500 g packet,0,,,0,,,,40,row already stated 40g
batter,Dosa-idli batter (ragi),serving,2,1,1,0,1,0,base,90,3,15,1,1,40,0,0,0,0,0,0,15,50,fermented,5,8,1 kg pack,0,buy it - or ferment 12h,,0,,,,60,ESTIMATE - one dosa
bread,Multigrain bread,serving,2,1,0,0,0,0,base,70,3,12,2,1,15,0,0,0,0,0,0,25,70,emergency only,5,12,loaf,0,,,0,,,,30,ESTIMATE - one slice
spinach,Spinach,serving,1,1,0,1,0,1,green,18,1.6,1.5,1.8,2.21,62,22.7,106,0.17,0,0.35,163,65,469,add lemon for oxalates,3,4,bunch,0,,,0,,,C033,75,ICMR-NIN DGI 2024 glv serving (100g/day)
amaranth,Amaranth,serving,1,1,0,1,0,1,green,23,2.5,1.7,3.3,3.48,248,62.7,53,0.19,0,0.65,535,146,429,lower oxalate than palak,3,4,bunch,0,,,0,,,C002,75,ICMR-NIN DGI 2024 glv serving (100g/day)
moringa,Moringa powder,serving,1,1,0,1,0,1,green,5,0.6,1,1,0.5,35,5,40,0,0,0,90,9,33,stir into any dal,365,40,100 g pack,0,,,0,,,,2,ESTIMATE - one tsp of dried leaf powder
carrot,Carrot,serving,1,1,0,0,0,1,veg,17,0.5,2.8,2.1,0.3,18,3.1,12,0.01,0,0.12,337,8,136,,10,6,500 g,0,,,0,,,F002,50,ICMR-NIN DGI 2024 root serving (50g/day)
beet,Beetroot,serving,1,1,0,0,0,1,veg,18,1,3.1,1.7,0.38,9,2.6,49,0,0,0.15,0,17,153,,14,4,500 g,0,,,0,,,F001,50,ICMR-NIN DGI 2024 root serving (50g/day)
fbeans,French beans,serving,1,1,0,0,0,0,veg,22,2.1,2.6,4.2,0.98,50,1.4,62,0.07,0,0.37,33,35,317,,5,4,250 g,0,,,0,,,D050,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
cocc,Coccinia (tindora),serving,1,1,0,0,0,0,veg,17,1.4,2,3,0.38,34,17.6,49,0.04,0,0.18,11,20,198,,7,4,250 g,0,,,0,,,D054,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
tomato,Tomato,serving,1,1,0,0,0,1,veg,19,0.8,3.2,1.6,0.22,9,25.3,15,0.01,0,0.11,127,12,167,iron partner,5,8,500 g,0,,,0,,,D075,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
cucumber,Cucumber,serving,1,0,0,0,0,0,veg,20,0.7,3.5,2.1,0.46,16,6.1,17,0.01,0,0.17,0,20,183,buy - the no-cook salad volume,7,4,500 g,0,,,0,,,D043,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
onion,Onion (red),serving,1,1,0,0,0,0,aromatic,12,0.4,2.4,0.6,0.11,5,1.7,7,0,0,0.09,0,4,43,prebiotic base,21,8,1 kg,0,bhuna a big onion-tomato base - 1h once - keeps 4-5 days,,0,,,G017,25,INDB serving n=118 basis=core
garlic,Garlic,serving,1,1,0,0,0,0,aromatic,1,0.1,0.2,0.1,0.01,0,0.1,1,0,0,0.01,0,0,5,prebiotic,30,40,2 bulbs,0,,,0,,,G012,1,INDB serving n=65 basis=all
ginger,Ginger,serving,1,1,0,0,0,0,aromatic,3,0.1,0.4,0.3,0.1,1,0.3,1,0,0,0.02,0,3,20,digestive,14,10,100 g,0,,,0,,,G014,5,INDB serving n=10 basis=core
gchilli,Green chilli,serving,1,1,0,0,0,0,aromatic,2,0.1,0.3,0.2,0.06,1,3.2,1,0,0,0.01,0,1,17,,7,25,50 g,0,,,0,,,G001,4,INDB serving n=7 basis=core
curryleaf,Curry leaf,serving,1,1,0,0,0,0,aromatic,1,0.1,0.1,0.3,0.17,13,0.1,2,0.01,0,0.02,13,4,12,flavour and iron trace,5,12,bunch,0,,,0,,,G010,2,ESTIMATE - no INDB serving for this food
coriander,Coriander,serving,1,1,0,0,0,0,aromatic,3,0.3,0.2,0.4,0.48,13,2.1,5,0.02,0,0.06,29,7,49,,3,16,bunch,0,,,0,,,G009,9,INDB serving n=6 basis=core
lemon,Lemon,serving,1,1,0,0,0,1,sour,5,0.1,0,0,0.02,3,6.7,2,0.01,0,0.01,0,1,16,iron partner - add at iron meals,14,6,6 lemons,0,,,0,,,E033,14,INDB serving n=10 basis=core
lemon_wedge,Lemon wedge,serving,1,1,0,0,0,1,sour,5,0.1,0,0,0.02,3,6.7,2,0.01,0,0.01,0,1,16,iron partner - add at iron meals,14,24,6 lemons,0,,,0,,,E033,14,INDB serving n=10 basis=core
banana,Banana,serving,1,1,0,0,0,1,fruit,111,1.2,24.9,2.2,0.4,7,8.1,18,0.06,0,0.15,5,30,362,,5,6,half dozen,0,,,0,,,E009,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
guava,Guava,serving,1,1,0,0,0,1,fruit,32,1.4,5.1,8.6,0.32,19,214,30,0.01,0,0.23,25,15,283,,5,4,500 g,0,,,0,,,E028,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
papaya,Papaya,serving,1,1,0,0,0,1,fruit,24,0.4,4.6,2.8,0.23,15,43.1,61,0.04,0,0.08,112,11,173,,4,6,1 papaya,0,,,0,,,E049,100,ICMR-NIN DGI 2024 fruit serving (100g/day)
flax,Ground flax,serving,1,1,0,0,0,1,seed,89,3.7,2.2,5.2,1.09,51,0,17,2.59,0,0.97,0,70,131,daily - the omega-3 source - this row IS the ground form so it is not gated,60,25,250 g packet,0,grind small batches - pre-ground goes rancid,,0,,,H014,20,ICMR-NIN DGI 2024 nutseed serving (35g/day)
til,Black til,serving,1,1,0,0,0,1,seed,102,3.8,2.1,3.4,2.78,333,0,25,0.03,0,1.72,0,78,96,plant-calcium specialist - ONLY once ground - whole til passes through undigested,90,25,250 g packet,0,grind or dry-roast before use,,0,ground,calcium iron zinc magnesium,H009,20,ICMR-NIN DGI 2024 nutseed serving (35g/day)
pumpkin,Pumpkin seeds,serving,1,1,0,0,0,1,seed,85,3.7,2.3,1,1.5,6,0,0,0,0,0.99,3,40,123,best zinc per gram on the seed shelf but 1 mg not 2.2 - UK FCT H518 via INDB,90,16,250 g packet,0,,,0,,,,15,row already stated 15g
chana_dal,Chana dal,serving,1,1,1,0,0,0,protein,99,6.5,14,4.5,1.82,14,0,55,0.03,0,1.09,4,35,287,holds shape - the salad-and-sundal dal,365,28,1 kg packet,0,pressure-cook a batch - keeps 3-4 days,,0,,,B001,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
urad,Urad dal,serving,1,0,1,0,0,0,protein,97,6.9,15.3,3.6,1.4,17,0,27,0.17,0,0.9,0,52,347,buy - iron-dense dal and the dosa-batter base,365,28,1 kg packet,0,pressure-cook a batch - keeps 3-4 days,,0,,,B003,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
masoor,Masoor dal,serving,1,1,1,0,0,0,protein,97,7.3,15.8,3.1,2.12,13,0,15,0.02,0,1.08,0,22,236,cooks in 12 min with no soak - the fastest dal,365,28,1 kg packet,0,no soak - simmers in 12 min,,0,,,B013,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
lobia,Lobia (cowpea),serving,1,0,1,0,0,0,protein,96,6.4,16.1,3.5,1.51,25,0,75,0.06,0,1.07,0,64,373,buy - rajma texture at half the soak,365,8,500 g packet,6,soak 6h then discard the water,,0,,,B006,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
moth,Moth bean,serving,1,0,1,0,0,0,protein,93,5.9,15.6,4.5,2.37,46,0,105,0.07,0,0.58,0,62,407,buy - sprouts faster than moong,365,8,500 g packet,6,soak 6h then discard the water,,0,,,B016,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
kulthi,Kulthi (horse gram),serving,1,0,1,0,0,0,protein,99,6.5,17.2,2.4,2.63,81,0,49,0.02,0,0.81,1,46,320,buy - the iron outlier of the pulse shelf,365,8,500 g packet,8,soak 8h then discard the water,,0,,,B012,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
matar,Dried white peas,serving,1,0,1,0,0,0,protein,91,6.1,14.7,5.1,1.53,23,0,33,0.04,0,0.93,2,37,277,buy - the ragda base,365,8,500 g packet,8,soak 8h then discard the water,,0,,,B017,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
moong_whole,Whole moong,serving,1,1,1,0,0,0,protein,88,6.8,13.8,5.1,1.47,28,0,44,0.05,0,0.8,3,59,353,the thing you sprout - also cooks whole,365,28,1 kg packet,0,pressure-cook or sprout it,,0,,,B011,30,ICMR-NIN DGI 2024 pulse serving (85g/day)
bajra,Bajra,serving,1,0,1,0,0,0,base,278,8.8,49.4,9.2,5.14,22,0,29,0.11,0,2.21,2,99,292,buy - iron and magnesium where rice has none,180,10,500 g packet,0,cook like rice - 1:2.5 water,,0,,,A003,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
jowar,Jowar,serving,1,0,1,0,0,0,base,267,8,54.1,8.2,3.16,22,0,32,0.01,0,1.57,1,106,262,buy - the mildest of the millets,180,10,500 g packet,0,cook like rice - 1:3 water,,0,,,A005,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
atta,Atta (whole wheat),serving,1,1,1,0,0,0,base,256,8.5,51.3,9.1,3.28,25,0,23,0.04,0,2.28,0,100,249,the default roti,120,33,1 kg packet,0,knead a batch of dough - keeps 2 days,,0,,,A019,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
quinoa,Quinoa,serving,1,0,1,0,0,0,base,263,10.5,42.9,11.7,6.01,158,0,138,0.16,0,2.65,0,95,379,buy - complete protein in a grain slot,180,11,500 g packet,0,rinse well then cook 1:2,,0,,,A009,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
rajgira,Rajgira (amaranth seed),serving,1,0,1,0,0,1,base,285,11.7,48,5.6,7.46,145,0,22,0.02,0,2.13,0,260,346,buy - plant calcium in a grain,180,16,500 g packet,0,pop it dry or cook as porridge,,0,,,A001,80,ICMR-NIN DGI 2024 cereal serving (250g/day)
almond,Almonds,serving,1,0,0,0,0,1,seed,122,3.7,0.6,2.6,0.92,46,0.1,7,0.01,0,0.7,0,64,140,vitamin E and magnesium topper,120,33,500 g packet,0,soak overnight to peel - optional,,0,,,H001,20,ICMR-NIN DGI 2024 nutseed serving (35g/day)
walnut,Walnuts,serving,1,0,0,0,0,1,seed,134,3,2,1.1,0.64,21,0.2,12,1.74,0,0.59,0,36,91,the second ALA source after flax,90,16,250 g packet,0,,,0,,,H021,20,ICMR-NIN DGI 2024 nutseed serving (35g/day)
